Unnamed: 0,Run,Model,Groups,Adapter method,Subject / Task
60,"legalbench:subset=abercrombie,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
61,"legalbench:subset=abercrombie,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
62,"legalbench:subset=abercrombie,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
63,"legalbench:subset=abercrombie,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
64,"legalbench:subset=abercrombie,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
65,"legalbench:subset=abercrombie,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
66,"legalbench:subset=abercrombie,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
67,"legalbench:subset=abercrombie,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
68,"legalbench:subset=abercrombie,model=anthropic_claude-2.1",anthropic/claude-2.1,legalbench,generation,-
69,"legalbench:subset=abercrombie,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,legalbench,generation,-
70,"legalbench:subset=abercrombie,model=anthropic_claude-v1.3",anthropic/claude-v1.3,legalbench,generation,-
71,"legalbench:subset=abercrombie,model=cohere_command",cohere/command,legalbench,generation,-
72,"legalbench:subset=abercrombie,model=cohere_command-light",cohere/command-light,legalbench,generation,-
73,"legalbench:subset=abercrombie,model=google_text-bison@001",google/text-bison@001,legalbench,generation,-
74,"legalbench:subset=abercrombie,model=google_text-unicorn@001",google/text-unicorn@001,legalbench,generation,-
75,"legalbench:subset=abercrombie,model=meta_llama-2-13b",meta/llama-2-13b,legalbench,generation,-
76,"legalbench:subset=abercrombie,model=meta_llama-2-70b",meta/llama-2-70b,legalbench,generation,-
77,"legalbench:subset=abercrombie,model=meta_llama-2-7b",meta/llama-2-7b,legalbench,generation,-
78,"legalbench:subset=abercrombie,model=meta_llama-65b",meta/llama-65b,legalbench,generation,-
79,"legalbench:subset=abercrombie,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,legalbench,generation,-
80,"legalbench:subset=abercrombie,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,legalbench,generation,-
81,"legalbench:subset=abercrombie,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,legalbench,generation,-
82,"legalbench:subset=abercrombie,model=openai_gpt-4-0613",openai/gpt-4-0613,legalbench,generation,-
83,"legalbench:subset=abercrombie,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,legalbench,generation,-
84,"legalbench:subset=abercrombie,model=openai_text-davinci-002",openai/text-davinci-002,legalbench,generation,-
85,"legalbench:subset=abercrombie,model=openai_text-davinci-003",openai/text-davinci-003,legalbench,generation,-
86,"legalbench:subset=abercrombie,model=tiiuae_falcon-40b",tiiuae/falcon-40b,legalbench,generation,-
87,"legalbench:subset=abercrombie,model=tiiuae_falcon-7b",tiiuae/falcon-7b,legalbench,generation,-
88,"legalbench:subset=abercrombie,model=writer_palmyra-x-v2",writer/palmyra-x-v2,legalbench,generation,-
89,"legalbench:subset=abercrombie,model=writer_palmyra-x-v3",writer/palmyra-x-v3,legalbench,generation,-
90,"legalbench:subset=corporate_lobbying,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
91,"legalbench:subset=corporate_lobbying,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
92,"legalbench:subset=corporate_lobbying,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
93,"legalbench:subset=corporate_lobbying,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
94,"legalbench:subset=corporate_lobbying,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
95,"legalbench:subset=corporate_lobbying,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
96,"legalbench:subset=corporate_lobbying,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
97,"legalbench:subset=corporate_lobbying,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
